first_name,last_name,urls
Amy,Walter,"['https://www.washingtonpost.com/news/reliable-source/wp/2017/06/22/despite-recent-shooting-spirits-remain-high-at-congressional-womens-softball-game/', 'http://appsforpcdaily.com/2017/06/juror-cosby-panel-was-concerned-about-politics-of-case/', 'http://appsforpcdaily.com/2017/06/russian-diplomat-probable-that-is-leader-killed-in-may/', 'http://appsforpcdaily.com/2017/06/watch-the-first-trailer-of-dynasty-warriors-9/']"
Kevin,Starr,['https://www.thecerbatgem.com/2017/06/21/cytomx-therapeutics-inc-ctmx-given-average-recommendation-of-hold-by-brokerages.html']
David,Fernandez,['http://www.sun-sentinel.com/local/broward/sunrise/fl-pf-panthersscholarships-0621-20170621-story.html']
Eric,Rosengren,['http://www.foxbusiness.com/features/2017/06/27/bond-investing-conundrum-returns.html']
Phillip,Frost,"['https://miami.curbed.com/2017/6/13/15793396/miami-phillip-frost-climate-change', 'https://weeklyhub.com/inside-acquisition-phillip-frost-purchased-7200-shares-of-opko-health-inc-nasdaqopk/', 'http://www.miamiherald.com/opinion/letters-to-the-editor/article156051749.html']"
David,Pulver,['https://www.chaffeybreeze.com/2017/06/13/david-pulver-purchases-1000-shares-of-carters-inc-cri-stock-updated-updated.html']
Phillip,Frost,['https://www.whatsonthorold.com/2017/05/31/insider-deal-opko-health-inc-opks-ceo-varian-medical-systems-vars-sentiment-is-0-9/']
Jim,Crook,['https://www.colby.edu/news/2017/06/01/generous-gift-names-basketball-arena-in-new-colby-athletic-complex/']
Bob,Diamond,['https://www.theguardian.com/business/2017/may/28/bob-diamond-atlas-mara-beard-agm']
Phillip,Frost,['http://finnewsdaily.com/phillip-frost-ceo-chairman-of-opko-health-inc-nasdaqopk-just-made-a-purchase-of-shares/']
Bob,Diamond,['https://therealdeal.com/2017/05/26/hong-kong-banker-is-buyer-of-bob-diamonds-50m-ph/']
Phillip,Frost,['https://heraldks.com/opko-health-inc-opks-ceo-greenlight-capital-has-raised-by-7-70-million-its-pvh-pvh-position/']
David,Pulver,['https://www.thecerbatgem.com/2017/05/25/carters-inc-cri-director-david-pulver-buys-1000-shares.html']
